Time (ns),Br25 ref,Br25 IMN,Br25 EDA,EDA ref,EDA IMN,EDA EDA,IMN ref,IMN IMN,IMN EDA
30.848,4,8,4,2,1,5,8,11,8
30.976,12,12,2,5,3,12,15,13,11
31.104,16,35,4,2,6,19,10,22,8
31.232,36,46,26,18,10,33,29,34,18
31.36,63,61,84,60,46,52,43,43,42
31.488,70,98,126,132,104,86,96,79,55
31.616,105,146,172,193,159,135,119,127,73
31.744,129,161,213,235,220,151,148,192,74
31.872,153,192,248,323,268,178,195,182,101
32,142,213,250,316,277,207,178,187,112
32.128,153,221,238,379,282,216,216,214,118
32.256,135,252,246,400,329,236,235,255,122
32.384,131,247,244,365,302,211,242,220,130
32.512,131,249,242,376,302,235,256,202,124
32.64,110,249,232,392,321,235,264,237,153
32.768,125,210,242,383,296,253,248,257,110
32.896,99,207,196,364,278,238,257,238,129
33.024,108,211,227,370,257,204,246,236,128
33.152,98,213,214,361,254,229,235,272,127
33.28,117,194,201,338,241,248,221,240,159
33.408,90,182,220,313,251,239,222,233,150
33.536,89,184,169,321,251,225,227,254,131
33.664,93,183,188,327,232,232,273,242,126
33.792,88,180,181,281,240,220,247,223,107
33.92,77,179,157,316,202,210,254,216,125
34.048,100,201,198,330,230,215,251,235,127
34.176,84,186,163,322,182,238,231,206,134
34.304,81,173,148,302,230,180,221,199,125
34.432,86,198,147,274,210,199,214,206,109
34.56,104,188,164,277,224,187,239,250,128
34.688,87,181,147,275,182,202,201,234,112
34.816,71,169,172,282,194,192,224,218,127
34.944,66,156,153,284,186,197,215,207,121
35.072,74,169,145,271,203,194,247,199,119
35.2,67,147,148,277,195,209,216,216,109
35.328,78,168,140,292,173,174,196,225,132
35.456,91,154,147,261,181,188,229,226,122
35.584,70,159,132,274,207,194,211,198,108
35.712,72,183,143,240,191,198,220,212,106
35.84,71,132,128,234,187,180,197,199,111
35.968,67,146,162,251,182,182,204,217,114
36.096,73,158,151,252,172,199,216,216,108
36.224,68,152,145,247,175,177,209,229,110
36.352,86,160,131,283,162,197,221,203,111
36.48,76,142,164,207,164,164,210,199,123
36.608,66,146,161,235,189,176,178,177,112
36.736,75,146,137,256,183,208,203,215,98
36.864,57,161,150,257,171,176,216,190,117
36.992,74,134,122,236,166,190,217,206,98
37.12,68,155,137,230,167,168,198,195,115
37.248,64,137,127,222,173,183,202,187,116
37.376,69,143,134,216,135,184,207,200,104
37.504,53,136,158,258,136,194,223,190,96
37.632,60,141,125,222,161,165,198,191,103
37.76,52,148,139,225,152,164,183,194,96
37.888,58,161,135,232,163,185,218,199,97
38.016,52,146,108,220,131,175,214,213,103
38.144,66,150,132,210,164,164,182,179,91
38.272,51,127,115,187,138,180,215,159,123
38.4,66,133,113,224,134,181,195,213,109
38.528,62,122,133,207,148,177,179,198,113
38.656,40,134,135,200,139,194,202,188,96
38.784,59,160,109,200,127,181,196,193,109
38.912,60,121,113,218,143,169,213,199,123
39.04,53,156,117,204,163,208,197,198,90
39.168,53,118,107,198,150,156,184,163,100
39.296,52,137,127,190,136,157,184,185,115
39.424,53,162,116,198,139,179,175,187,94
39.552,51,120,111,197,157,158,195,189,101
39.68,47,137,123,199,130,174,200,163,90
39.808,52,135,122,210,121,166,197,169,119
39.936,54,154,123,197,121,171,176,161,110
40.064,49,114,108,190,109,159,159,204,102
40.192,51,111,99,212,129,168,188,181,83
40.32,54,116,103,188,136,150,181,179,100
40.448,47,131,118,202,116,155,171,172,87
40.576,60,125,107,190,150,146,193,190,107
40.704,53,110,105,186,112,178,165,170,100
40.832,61,127,104,190,124,152,145,174,92
40.96,45,116,100,207,117,147,166,195,110
41.088,55,126,99,203,125,149,203,199,90
41.216,59,142,104,184,130,133,173,174,100
41.344,70,130,120,169,120,149,161,163,105
41.472,42,105,119,186,120,165,176,185,95
41.6,46,115,99,175,118,138,183,190,111
41.728,37,121,111,186,113,146,178,172,101
41.856,45,118,87,179,121,136,177,166,103
41.984,56,124,98,173,139,153,164,175,104
42.112,61,109,93,171,114,147,169,165,109
42.24,46,115,82,187,123,135,175,197,97
42.368,45,124,102,183,109,163,196,159,99
42.496,55,124,91,167,96,145,169,161,97
42.624,46,94,90,169,95,134,174,163,103
42.752,47,146,98,177,104,149,151,193,108
42.88,51,118,107,164,112,132,215,177,103
43.008,51,130,97,171,106,135,149,185,89
43.136,54,116,102,170,124,154,194,179,94
43.264,49,96,90,139,112,139,182,188,90
43.392,38,106,97,155,112,130,164,172,100
43.52,38,109,86,179,126,126,168,176,101
43.648,49,115,99,184,107,145,179,178,77
43.776,45,105,88,170,108,133,142,169,93
43.904,48,117,102,152,114,139,164,184,95
44.032,27,120,93,164,96,142,156,175,89
44.16,53,99,99,182,104,137,180,161,112
44.288,45,97,90,179,92,146,164,159,78
44.416,36,99,83,161,99,131,150,144,92
44.544,48,100,73,147,115,139,147,156,93
44.672,42,99,102,151,116,142,151,150,115
44.8,39,123,91,160,94,123,181,176,65
44.928,48,121,95,138,97,121,168,184,96
45.056,53,102,94,139,95,129,153,162,94
45.184,51,88,88,169,91,130,170,150,83
45.312,45,111,87,153,75,145,166,146,86
45.44,43,118,96,127,94,134,163,159,86
45.568,43,114,105,142,93,131,157,153,89
45.696,51,94,98,150,108,133,162,157,92
45.824,43,85,83,146,78,156,157,158,96
45.952,33,106,93,159,96,149,143,164,81
46.08,47,89,88,147,96,137,153,173,98
46.208,49,92,99,125,84,143,169,150,89
46.336,47,105,82,127,88,148,154,169,90
46.464,36,115,80,134,91,154,186,162,89
46.592,32,102,75,140,86,142,154,169,96
46.72,25,114,89,146,82,140,156,189,99
46.848,50,111,90,153,89,113,161,174,93
46.976,33,97,89,143,87,141,168,162,98
47.104,40,111,97,162,85,137,153,140,93
47.232,32,102,79,116,102,133,156,156,74
47.36,58,103,87,116,75,124,152,191,86
47.488,39,90,71,141,81,125,141,159,85
47.616,36,93,85,137,82,157,151,177,82
47.744,50,101,77,139,76,121,164,170,97
47.872,44,116,85,136,80,131,168,163,90
48,37,89,71,134,83,143,172,165,79
48.128,49,108,70,122,71,143,178,180,89
48.256,36,97,87,126,75,117,163,163,75
48.384,43,104,82,137,88,114,156,169,68
48.512,38,91,67,134,84,112,172,149,92
48.64,25,89,69,132,73,134,160,164,101
48.768,34,90,86,129,78,140,136,167,88
48.896,43,94,82,136,73,122,172,151,77
49.024,41,93,79,137,70,152,148,156,85
49.152,51,112,86,125,76,125,160,159,82
49.28,40,116,75,107,89,148,128,141,105
49.408,54,98,67,114,70,109,143,155,82
49.536,32,108,70,116,69,103,147,155,92
49.664,34,98,66,107,66,129,134,139,86
49.792,45,91,78,113,74,115,159,151,98
49.92,34,88,72,134,71,115,149,159,91
50.048,33,98,79,121,83,126,156,162,82
50.176,35,107,71,106,67,110,144,144,83
50.304,32,86,75,123,67,150,148,140,96
50.432,36,86,80,115,70,122,151,159,112
50.56,30,84,71,114,80,108,149,160,101
50.688,26,106,64,112,60,124,145,157,97
50.816,37,78,81,106,69,119,140,142,95
50.944,45,105,64,125,80,117,125,124,101
51.072,28,80,78,106,80,113,131,151,89
51.2,43,89,68,100,64,107,149,172,91
51.328,31,101,79,122,73,127,148,154,95
51.456,43,103,72,107,47,115,160,157,71
51.584,38,86,52,110,62,128,140,141,88
51.712,35,74,80,118,62,117,143,137,80
51.84,36,91,71,107,53,102,126,170,89
51.968,39,85,58,111,83,119,167,145,78
52.096,33,97,55,104,61,143,142,169,94
52.224,29,83,69,114,70,111,152,156,81
52.352,35,90,77,95,69,120,164,155,89
52.48,34,84,81,104,66,98,139,150,91
52.608,25,99,63,109,51,106,139,150,83
52.736,32,112,71,99,68,140,137,164,88
52.864,28,85,61,114,66,112,135,129,88
52.992,34,118,70,118,61,114,137,151,90
53.12,32,86,76,94,66,108,166,134,88
53.248,31,93,83,95,64,128,125,170,83
53.376,26,90,68,96,58,132,150,153,85
53.504,40,81,63,93,64,115,168,152,99
53.632,35,92,68,73,56,111,157,153,77
53.76,29,76,77,109,55,134,139,130,73
53.888,26,84,66,88,67,119,124,168,87
54.016,30,81,73,107,70,113,150,148,89
54.144,40,95,65,108,54,120,157,155,83
54.272,24,71,68,92,53,108,128,145,79
54.4,37,92,67,101,66,97,143,146,69
54.528,43,86,69,95,75,119,130,171,92
54.656,33,83,58,85,67,91,145,160,100
54.784,37,78,58,106,60,109,143,138,94
54.912,38,94,67,99,69,130,129,143,90
55.04,21,102,56,111,55,108,149,158,97
55.168,32,85,75,106,63,105,117,164,83
55.296,37,86,73,89,59,110,141,146,91
55.424,27,63,38,101,51,101,136,137,81
55.552,32,74,58,101,55,124,137,146,82
55.68,29,95,61,92,58,118,143,149,70
55.808,33,78,55,86,57,95,146,140,89
55.936,33,73,44,99,53,131,134,142,86
56.064,33,76,58,110,55,100,142,143,98
56.192,28,71,47,87,60,90,144,155,72
56.32,20,86,70,85,41,97,138,107,82
56.448,30,78,59,116,48,99,136,143,86
56.576,25,74,59,102,63,120,139,131,79
56.704,23,88,65,84,46,107,124,140,80
56.832,30,84,74,82,54,123,137,122,102
56.96,35,70,66,96,48,103,123,122,99
57.088,31,78,59,88,53,123,167,134,60
57.216,27,62,57,102,44,89,143,137,99
57.344,39,76,65,95,37,103,122,154,93
57.472,36,73,51,94,48,104,142,153,80
57.6,29,84,67,84,41,123,131,125,71
57.728,33,75,50,117,43,109,146,123,72
57.856,33,84,47,95,42,86,136,133,86
57.984,30,77,46,84,52,99,132,146,78
58.112,24,107,67,82,55,109,137,138,86
58.24,37,71,59,81,62,121,122,157,71
58.368,32,83,41,73,42,113,148,137,76
58.496,33,77,58,77,64,103,121,144,87
58.624,32,61,43,79,49,102,128,118,77
58.752,19,73,39,97,54,114,128,136,82
58.88,34,78,45,72,57,93,115,139,89
59.008,26,68,63,89,44,99,119,145,91
59.136,34,69,45,82,54,81,144,138,79
59.264,17,84,52,95,39,116,119,127,88
59.392,23,68,52,77,47,100,129,122,78
59.52,20,71,52,75,39,86,139,146,81
59.648,27,68,57,93,52,85,133,121,80
59.776,24,73,46,84,37,91,142,145,81
59.904,41,69,59,62,43,91,139,143,81
60.032,26,67,54,72,60,103,129,129,74
60.16,26,69,53,81,46,104,120,140,72
60.288,30,61,56,92,36,90,135,142,73
60.416,26,88,52,83,41,95,111,151,78
60.544,27,74,45,74,39,114,133,129,85
60.672,29,67,69,74,48,101,97,131,80
60.8,22,76,69,82,45,96,111,155,72
60.928,23,67,58,63,47,82,129,135,65
61.056,30,66,56,62,53,88,139,124,63
61.184,20,76,56,72,41,115,127,124,75
61.312,28,64,40,83,40,95,129,149,82
61.44,36,69,53,84,41,79,133,152,75
61.568,26,81,48,78,43,89,127,133,74
61.696,36,63,55,74,48,97,134,117,58
61.824,25,80,39,86,46,105,135,158,72
61.952,32,68,50,76,40,91,133,135,83
62.08,28,49,58,79,39,100,125,161,72
