#PicoHarp 300  Histogram Data			04/11/2023 03:56:27 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
25	30	50	67	47	
19	37	51	57	44	
25	36	38	46	48	
28	33	50	52	47	
21	40	40	43	48	
21	32	44	50	53	
18	34	61	48	43	
17	37	49	56	75	
21	33	40	53	55	
19	33	33	60	53	
15	22	60	52	63	
17	31	52	52	53	
27	35	46	60	50	
29	36	48	53	50	
17	26	41	50	69	
20	23	55	58	45	
28	37	41	58	67	
18	35	57	44	49	
17	40	47	51	58	
13	29	50	45	55	
23	31	45	49	65	
12	31	36	54	54	
17	35	38	50	62	
30	28	37	59	50	
13	31	50	53	59	
13	34	43	65	65	
14	37	51	59	51	
27	29	46	64	40	
10	42	56	68	46	
11	28	40	49	49	
21	28	44	49	63	
16	33	43	60	67	
17	28	47	56	51	
13	20	60	44	51	
11	36	48	60	53	
15	36	54	52	69	
18	28	46	58	59	
12	20	56	57	55	
11	36	45	55	57	
14	24	36	41	62	
10	31	45	49	58	
17	33	51	53	45	
30	46	53	50	49	
20	19	43	53	61	
13	41	42	49	46	
12	26	41	56	64	
17	39	57	45	50	
15	36	52	51	62	
15	39	40	55	46	
7	34	40	42	65	
21	32	42	56	53	
16	31	45	54	70	
18	37	45	59	58	
15	25	54	49	41	
18	20	46	51	60	
18	25	43	51	70	
20	41	56	54	46	
18	34	44	64	56	
14	29	44	42	67	
16	30	39	52	57	
22	22	48	53	50	
20	27	44	47	64	
15	32	50	61	39	
22	38	50	63	50	
7	41	60	57	63	
9	32	49	52	45	
14	39	31	55	64	
17	34	67	53	56	
12	40	51	48	39	
21	28	45	56	57	
12	28	46	51	59	
14	35	48	53	55	
12	31	48	49	66	
19	28	37	51	46	
14	40	56	59	53	
13	31	42	54	61	
13	26	45	44	57	
15	31	46	55	61	
22	27	41	40	59	
13	29	34	50	50	
16	28	50	66	63	
20	27	41	56	44	
15	22	38	48	66	
10	28	47	53	46	
15	18	48	51	50	
28	23	50	55	49	
19	34	43	44	55	
10	35	44	51	58	
17	33	53	52	53	
15	30	49	59	60	
15	41	32	46	70	
12	36	45	49	57	
16	33	48	46	49	
14	35	43	62	61	
21	29	35	49	57	
14	31	54	50	55	
20	42	64	65	52	
15	32	46	48	59	
21	29	50	56	44	
14	35	46	54	51	
15	27	42	53	41	
27	27	47	30	53	
17	27	58	53	49	
15	25	48	58	55	
15	36	40	47	48	
16	36	40	52	58	
18	38	41	47	54	
21	27	50	56	73	
14	33	50	65	46	
14	28	42	49	57	
14	27	44	65	60	
19	24	38	47	50	
18	29	51	42	40	
10	36	39	56	53	
15	41	45	57	53	
16	20	36	57	53	
16	16	53	54	43	
12	27	46	53	66	
19	32	39	63	55	
22	25	40	48	59	
15	31	37	59	65	
17	26	44	55	40	
16	26	39	49	52	
20	31	42	49	53	
18	28	39	52	59	
19	27	49	54	56	
22	40	48	51	59	
22	31	52	51	57	
19	32	47	44	52	
11	40	62	48	51	
16	44	49	48	46	
15	23	42	45	48	
7	23	42	52	59	
12	27	47	44	49	
17	37	41	60	34	
17	25	48	50	47	
14	26	39	52	50	
7	30	48	59	43	
30	29	43	53	52	
11	21	41	44	63	
17	28	38	41	66	
16	38	38	47	58	
8	31	50	51	58	
15	24	48	53	39	
11	25	34	49	49	
14	29	45	43	51	
15	26	40	47	54	
22	44	46	47	56	
14	27	39	42	44	
16	25	54	50	51	
17	33	54	47	62	
16	35	50	55	55	
22	36	40	55	64	
13	31	43	55	55	
17	42	49	58	54	
12	29	52	63	44	
10	35	40	43	59	
12	14	32	55	54	
20	24	52	49	76	
19	32	42	69	46	
19	25	38	50	61	
22	35	36	70	53	
12	22	50	55	44	
15	31	44	41	65	
21	23	41	63	50	
16	25	46	50	55	
19	26	30	54	42	
17	27	46	52	50	
17	26	38	55	52	
11	28	42	56	59	
8	36	39	52	53	
11	27	52	52	57	
19	26	38	57	59	
12	31	36	54	40	
25	27	42	47	41	
16	25	33	50	48	
14	28	44	53	51	
16	19	46	38	58	
17	23	46	52	49	
27	20	38	49	54	
22	41	44	51	52	
13	29	46	55	47	
13	19	44	52	57	
15	31	41	55	46	
15	28	33	46	61	
17	35	42	54	48	
14	31	43	52	49	
19	24	45	54	51	
11	28	45	59	51	
23	31	34	53	70	
14	24	41	52	53	
12	29	37	39	51	
16	38	40	38	57	
14	32	53	50	59	
15	29	45	43	61	
14	19	37	60	50	
17	20	44	33	45	
15	18	47	51	51	
18	26	40	45	51	
21	25	47	48	49	
17	29	39	49	54	
7	39	46	58	49	
10	26	39	44	59	
20	24	37	49	56	
15	25	50	48	54	
15	21	38	39	50	
12	33	41	56	48	
18	26	49	54	57	
18	25	47	46	50	
14	26	38	60	45	
9	19	30	39	69	
11	28	46	49	53	
13	24	41	53	54	
16	20	48	58	54	
9	30	44	58	53	
9	24	32	59	63	
12	20	43	41	50	
16	27	49	79	51	
10	35	36	50	43	
13	25	44	38	42	
13	30	49	42	55	
13	37	48	52	47	
8	25	49	44	68	
11	36	58	39	54	
10	23	47	54	51	
19	23	33	44	44	
8	21	44	58	54	
17	26	44	51	52	
14	26	45	53	44	
29	38	30	61	49	
8	23	47	63	65	
6	21	40	63	49	
16	23	46	48	49	
14	24	34	53	64	
15	17	36	54	47	
16	23	33	53	75	
16	25	39	48	39	
16	27	38	43	56	
10	24	37	66	52	
5	38	33	47	55	
4	24	44	46	46	
17	31	45	52	50	
7	24	39	52	56	
15	26	30	49	38	
20	32	35	53	54	
11	36	51	45	48	
14	23	45	45	52	
16	27	47	46	42	
11	31	34	62	39	
13	21	51	60	58	
15	21	37	53	50	
15	25	41	55	46	
16	33	37	51	68	
12	28	50	49	44	
12	22	43	48	68	
17	22	45	52	55	
11	25	37	33	55	
14	29	50	42	48	
12	27	32	50	54	
14	28	39	44	41	
8	21	48	41	32	
11	30	38	57	57	
15	33	40	51	56	
14	31	29	49	44	
17	14	48	51	44	
13	23	50	47	60	
10	26	50	54	57	
8	23	48	66	58	
12	26	56	35	54	
12	21	44	42	61	
12	22	33	45	45	
13	26	43	48	53	
21	36	38	48	53	
12	17	45	52	47	
11	38	38	57	51	
16	26	33	46	46	
11	23	39	54	60	
15	26	35	54	51	
19	26	49	56	62	
8	27	38	54	42	
15	26	31	65	37	
18	21	43	47	58	
17	40	48	50	51	
16	23	41	52	44	
6	20	40	43	57	
16	31	29	46	59	
17	25	30	57	48	
14	17	42	60	47	
9	26	38	49	61	
16	19	38	45	52	
11	14	38	57	59	
21	26	39	41	49	
18	25	37	55	45	
18	27	39	67	59	
21	30	39	47	47	
7	28	51	48	61	
15	27	42	46	37	
12	25	25	42	50	
10	22	47	37	57	
10	30	38	49	52	
9	22	34	39	54	
8	26	42	58	62	
9	25	39	55	65	
15	22	41	38	43	
18	28	44	59	44	
13	33	40	55	50	
12	32	37	68	52	
14	33	48	46	51	
21	24	45	49	51	
15	24	55	55	53	
16	29	43	48	61	
7	30	37	45	51	
9	25	47	53	55	
16	23	42	50	56	
9	23	55	60	37	
13	28	39	51	54	
9	29	28	46	54	
14	17	34	44	52	
14	28	48	53	51	
17	27	34	40	48	
10	23	37	43	68	
5	21	43	50	44	
14	21	47	47	57	
14	22	36	62	39	
14	25	43	54	48	
14	24	44	56	52	
15	32	45	46	58	
10	26	41	45	44	
16	32	51	55	53	
12	25	27	55	52	
10	29	44	50	60	
14	27	33	54	50	
8	25	37	54	48	
15	23	37	44	53	
8	22	33	41	54	
17	27	36	43	50	
12	31	36	58	46	
11	26	49	48	57	
20	16	45	55	47	
9	24	41	59	46	
11	27	40	53	40	
11	25	41	42	44	
8	22	52	49	56	
12	24	31	55	55	
10	27	31	45	57	
14	30	42	46	51	
20	19	33	49	55	
15	33	55	44	41	
17	28	38	44	45	
12	19	42	44	53	
13	19	46	48	56	
12	32	42	53	50	
12	24	36	50	37	
12	27	37	48	61	
10	18	37	46	60	
8	23	37	49	51	
7	26	44	56	55	
7	23	40	46	61	
12	33	35	51	61	
7	30	43	61	50	
12	19	37	52	55	
11	14	26	57	52	
15	18	39	54	55	
10	28	44	49	58	
7	30	37	52	59	
18	20	40	38	56	
5	27	41	55	62	
12	24	44	52	51	
12	22	37	46	45	
15	20	35	36	63	
15	20	43	39	50	
12	32	35	54	47	
11	27	35	53	58	
9	15	32	53	53	
13	25	28	44	44	
21	25	50	55	37	
14	25	38	52	58	
15	28	41	42	54	
14	25	45	77	48	
16	14	27	31	50	
16	24	38	40	61	
10	26	35	51	46	
12	16	43	55	53	
11	27	35	34	41	
10	29	45	56	43	
11	24	37	49	49	
8	18	36	63	63	
7	28	39	39	51	
10	20	42	43	47	
13	32	42	32	51	
13	19	41	50	41	
6	24	34	58	47	
10	25	42	49	47	
14	25	35	48	45	
9	21	35	34	47	
15	17	48	45	42	
11	25	36	55	61	
11	23	39	51	49	
12	24	40	58	56	
12	33	29	50	45	
11	26	36	55	57	
15	24	39	50	58	
12	20	38	42	63	
8	29	35	59	62	
14	24	44	46	65	
14	22	49	46	43	
11	22	32	46	52	
14	16	33	44	62	
9	22	30	57	50	
10	14	40	46	64	
9	19	44	52	45	
9	32	36	47	63	
6	23	37	43	55	
9	25	46	34	49	
15	23	37	42	52	
13	29	36	55	48	
9	20	43	48	59	
15	25	39	42	49	
19	26	36	46	66	
11	25	48	56	47	
8	21	33	58	51	
14	27	42	49	48	
10	18	40	48	54	
11	14	46	51	49	
12	23	39	50	54	
5	27	41	37	57	
14	26	52	54	50	
12	17	43	53	43	
12	21	39	45	45	
10	26	41	53	50	
15	24	36	42	46	
20	21	38	58	43	
2	21	35	48	53	
7	24	39	51	46	
12	28	34	37	60	
10	20	48	35	54	
11	24	42	61	45	
13	19	51	54	62	
12	34	42	44	51	
13	26	42	49	51	
11	26	28	60	48	
12	27	47	62	49	
16	21	36	59	49	
14	15	49	47	50	
7	25	43	36	46	
11	15	45	42	58	
10	16	40	57	60	
8	25	37	50	35	
8	24	35	53	42	
10	18	44	55	56	
9	22	41	56	57	
15	22	30	49	59	
18	33	44	49	54	
10	25	34	59	43	
8	25	38	35	54	
17	26	44	49	56	
8	22	42	54	40	
9	26	44	45	47	
15	27	33	48	48	
11	23	44	39	55	
12	15	48	53	50	
9	16	32	39	51	
10	22	30	39	56	
14	28	33	58	53	
13	24	37	39	53	
12	20	41	34	46	
11	25	34	40	53	
10	19	27	42	42	
10	28	38	45	54	
14	17	31	63	57	
15	18	48	46	54	
14	30	33	46	59	
8	25	38	61	42	
13	33	37	50	55	
14	23	35	39	72	
7	29	33	52	62	
8	22	31	58	46	
9	22	51	59	44	
13	22	33	51	48	
11	21	27	46	67	
10	23	43	38	50	
8	22	34	41	57	
18	18	48	47	51	
6	16	33	42	59	
3	27	34	50	45	
13	30	26	60	57	
