,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
96.256,42,52,51,53,59,51,63,77,66,40
96.768,31,46,61,55,74,56,63,67,46,37
97.28,37,64,70,66,45,56,51,78,60,51
97.792,34,52,58,60,56,77,58,63,60,56
98.304,31,42,54,58,63,64,59,70,55,48
98.816,37,45,64,57,60,58,70,77,62,34
99.328,36,61,63,52,46,70,60,72,56,44
99.84,34,49,46,52,55,64,59,73,58,59
100.352,32,44,64,57,77,60,47,56,35,47
100.864,34,57,50,46,52,55,60,63,67,46
101.376,40,53,66,57,53,58,61,78,65,50
101.888,41,47,54,64,69,61,59,81,57,39
102.4,43,45,51,57,60,51,57,75,54,42
102.912,43,47,56,73,48,60,55,73,66,42
103.424,31,45,66,68,40,59,66,66,61,45
103.936,32,60,56,54,65,71,54,57,58,47
104.448,36,46,55,60,64,60,58,88,52,44
104.96,37,49,60,50,44,76,63,64,68,43
105.472,27,44,48,69,71,59,49,62,73,26
105.984,29,51,65,55,56,51,55,72,57,45
106.496,35,54,73,53,44,64,62,58,50,45
107.008,32,45,81,81,60,67,67,75,47,42
107.52,33,39,42,49,66,48,60,64,60,41
108.032,40,50,70,72,59,60,66,72,42,40
108.544,27,64,58,68,58,66,51,82,67,45
109.056,35,60,51,60,61,73,64,77,59,44
109.568,35,50,45,59,61,65,63,69,65,41
110.08,35,54,64,80,57,42,67,68,63,35
110.592,37,38,55,48,69,55,50,63,54,39
111.104,33,46,60,67,57,39,70,62,63,43
111.616,27,44,51,54,58,61,54,66,62,53
112.128,41,55,43,65,71,49,65,82,60,44
112.64,39,43,60,61,70,59,59,58,50,38
113.152,30,54,58,60,49,58,44,61,52,45
113.664,31,46,58,56,63,57,54,70,63,43
114.176,26,55,62,51,49,64,60,64,57,37
114.688,38,59,59,62,64,58,50,74,51,34
115.2,32,50,46,69,58,57,47,65,53,39
115.712,41,51,58,68,51,49,66,57,47,43
116.224,26,57,77,58,56,50,53,67,51,38
116.736,44,50,54,69,68,54,62,69,58,50
117.248,40,55,66,59,47,42,60,58,63,51
117.76,29,44,63,53,67,51,52,82,59,50
118.272,36,54,54,53,62,48,53,64,41,56
118.784,36,46,73,62,56,60,63,59,46,33
119.296,31,52,49,58,63,61,68,59,55,49
119.808,32,51,56,64,60,48,50,72,81,55
120.32,36,44,50,65,62,67,58,67,64,35
120.832,33,50,45,56,64,57,57,54,66,41
121.344,35,48,53,60,61,68,48,70,60,37
121.856,34,56,48,61,62,34,55,79,50,50
122.368,45,41,58,54,64,51,73,68,56,45
122.88,33,52,62,64,65,65,49,56,51,38
123.392,30,48,61,61,63,61,63,68,45,49
123.904,31,49,65,63,59,61,71,66,59,44
124.416,38,49,51,55,55,53,62,56,75,36
124.928,29,55,50,57,61,57,48,59,53,46
125.44,41,59,69,71,61,64,54,75,69,38
125.952,29,28,54,56,57,46,41,76,54,49
126.464,36,46,65,59,74,51,49,78,54,32
126.976,37,52,59,78,56,57,60,73,61,41
127.488,43,40,60,52,62,38,50,65,57,39
128,32,46,52,69,47,47,55,75,61,48
128.512,27,43,66,65,63,47,70,67,54,40
129.024,34,48,46,55,43,49,54,78,46,32
129.536,26,37,66,69,58,52,62,63,50,58
130.048,35,43,61,75,54,68,58,60,59,36
130.56,32,46,55,58,46,56,67,53,53,37
131.072,36,50,50,71,56,52,50,80,59,54
131.584,34,45,55,61,57,50,60,70,50,39
132.096,32,34,44,60,67,62,48,67,59,35
132.608,29,55,58,62,60,43,67,61,63,61
133.12,27,43,59,60,52,63,48,70,63,36
133.632,25,33,60,57,51,55,55,66,44,40
134.144,30,39,59,64,61,61,59,59,52,40
134.656,33,47,66,66,59,62,41,56,53,38
135.168,38,43,57,62,56,48,59,69,59,36
135.68,40,46,41,52,69,59,51,69,45,46
136.192,33,36,59,38,52,42,52,65,49,40
136.704,25,37,46,61,64,58,61,58,62,41
137.216,28,53,63,72,64,44,58,74,59,55
137.728,25,48,51,61,68,47,47,63,71,47
138.24,25,50,61,60,62,50,63,57,47,39
138.752,25,62,67,70,51,58,67,67,44,39
139.264,35,43,48,56,40,57,51,63,49,42
139.776,38,51,53,52,70,46,42,64,50,30
140.288,27,50,56,52,51,54,57,65,51,37
140.8,41,39,66,59,56,53,48,67,56,47
141.312,30,42,56,63,61,58,59,68,67,38
141.824,34,37,51,55,62,70,58,53,49,40
142.336,32,43,52,58,55,61,64,77,56,31
142.848,27,45,49,67,58,43,59,62,47,40
143.36,31,50,55,54,60,57,71,75,45,58
143.872,30,31,54,64,60,57,66,71,61,42
144.384,34,49,46,63,59,65,63,55,53,31
144.896,29,40,51,52,58,43,60,81,56,44
145.408,30,46,52,51,57,53,45,54,66,41
145.92,34,52,66,53,58,48,58,67,58,50
146.432,29,31,56,57,60,53,49,69,48,40
146.944,45,48,63,62,65,54,62,55,56,31
147.456,33,50,59,42,50,54,58,63,53,28
147.968,23,44,48,51,73,46,57,60,61,44
148.48,28,39,43,68,57,50,62,67,60,34
148.992,27,35,34,53,58,63,59,70,59,36
149.504,36,50,57,78,57,59,48,73,54,40
150.016,26,48,65,71,50,60,47,60,45,37
150.528,39,54,56,53,59,39,57,67,49,43
151.04,26,49,62,57,49,49,49,56,59,45
151.552,28,44,59,53,65,54,45,80,49,35
152.064,25,47,60,66,83,52,53,57,41,36
152.576,21,41,48,68,54,58,44,72,74,34
153.088,34,41,52,50,63,62,56,62,52,39
153.6,28,36,63,69,61,44,44,71,51,38
154.112,34,40,45,59,58,55,46,74,57,36
154.624,30,49,50,55,60,74,44,57,59,41
155.136,32,47,58,61,56,57,48,77,62,45
155.648,21,41,59,45,58,60,65,55,53,29
156.16,31,51,60,64,61,58,72,66,63,47
156.672,29,48,43,69,79,57,68,84,53,45
157.184,21,36,40,55,56,59,49,51,62,35
157.696,29,46,50,49,67,48,57,71,49,46
158.208,27,37,52,57,60,44,68,57,55,46
158.72,26,41,59,50,66,43,46,48,30,43
159.232,23,43,63,54,45,46,54,61,60,42
