#PicoHarp 300  Histogram Data			04/24/2023 03:02:16 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
45	58	60	45	30	
56	50	78	49	34	
39	64	65	45	32	
48	63	54	65	49	
50	56	54	54	36	
38	66	77	54	49	
41	40	54	45	39	
46	41	53	45	40	
55	47	42	47	36	
37	52	61	62	40	
39	54	64	57	35	
52	46	65	54	33	
42	53	54	52	48	
36	48	60	50	35	
38	60	51	54	32	
44	48	56	42	35	
40	40	66	45	42	
41	42	58	42	41	
40	39	70	52	44	
39	54	81	45	48	
46	55	59	50	40	
41	38	52	53	34	
51	49	76	39	35	
35	44	63	48	41	
42	54	63	52	34	
37	42	68	46	37	
57	59	58	49	35	
45	60	55	55	44	
56	49	59	55	33	
39	42	74	44	41	
37	58	52	60	42	
45	44	73	43	44	
43	51	67	55	39	
49	41	65	52	32	
39	52	49	41	39	
37	45	55	42	51	
40	49	71	50	49	
37	55	65	49	26	
34	48	59	50	39	
30	40	62	37	48	
34	48	75	53	36	
49	51	66	47	32	
45	57	65	58	42	
37	57	55	46	49	
33	49	47	44	29	
36	35	64	59	32	
31	58	47	59	44	
46	49	61	54	38	
43	46	56	42	37	
35	48	50	54	45	
39	45	73	48	38	
42	52	53	55	30	
35	45	51	52	49	
47	38	67	43	35	
39	43	58	50	40	
44	43	55	60	33	
38	41	77	50	45	
39	47	68	41	36	
53	43	54	56	30	
44	50	60	51	38	
41	47	63	47	31	
42	38	58	55	40	
49	37	50	47	32	
34	44	64	50	43	
49	38	56	63	39	
48	57	61	59	27	
36	44	59	68	22	
42	45	53	57	46	
33	62	49	44	32	
35	51	69	64	29	
45	56	54	46	35	
36	58	65	60	43	
40	38	57	59	41	
41	49	54	53	35	
49	55	69	50	51	
50	33	53	52	39	
45	60	59	55	36	
41	31	58	60	46	
48	48	61	46	40	
36	47	50	54	46	
30	32	51	58	57	
39	58	53	64	35	
41	31	65	63	42	
43	47	51	42	32	
41	44	54	50	39	
49	46	55	66	37	
38	44	57	49	45	
38	37	56	47	42	
47	43	52	47	41	
34	36	71	50	36	
35	40	62	41	40	
37	50	54	37	49	
46	46	52	57	36	
50	51	69	52	34	
37	44	59	35	40	
34	46	56	55	32	
34	35	46	49	44	
41	52	59	48	34	
44	49	63	44	30	
49	38	54	53	40	
42	51	58	45	35	
40	35	56	53	51	
58	51	57	54	44	
42	54	60	55	42	
34	45	50	49	44	
41	50	53	45	26	
30	43	48	47	32	
45	44	63	48	41	
43	47	53	47	44	
35	39	56	58	30	
33	38	51	53	31	
46	40	55	66	46	
31	38	42	51	44	
38	57	51	47	35	
30	40	56	39	41	
33	45	45	56	30	
46	36	61	41	41	
32	48	60	56	56	
24	37	62	51	51	
49	33	51	39	46	
41	47	62	50	32	
38	41	50	45	37	
41	51	55	50	42	
41	42	56	50	38	
54	50	59	49	34	
31	45	50	51	35	
36	46	53	47	31	
45	46	59	48	34	
45	47	62	59	37	
39	60	52	53	47	
32	56	66	54	34	
37	23	50	51	37	
39	42	76	54	38	
33	39	58	54	42	
37	46	66	58	38	
33	53	64	42	36	
23	46	51	43	46	
32	40	48	46	32	
35	38	66	59	42	
40	41	70	31	34	
38	48	63	42	39	
41	56	48	50	40	
44	44	53	52	40	
37	37	54	49	36	
30	38	48	49	37	
41	41	62	51	37	
45	44	54	43	35	
27	39	56	53	38	
35	33	51	50	40	
18	44	50	39	33	
32	42	51	49	40	
34	45	42	50	47	
28	54	46	31	39	
37	33	46	54	28	
48	43	63	51	35	
42	46	50	48	40	
23	39	54	42	46	
31	47	49	42	44	
35	40	58	63	51	
24	38	58	37	35	
38	41	67	53	38	
34	40	51	46	33	
32	30	68	42	43	
43	33	39	50	46	
40	36	46	46	33	
35	46	71	60	35	
36	34	53	53	39	
28	45	70	49	31	
31	41	60	37	36	
44	29	65	54	42	
35	45	42	59	53	
39	37	54	60	45	
31	50	64	54	42	
52	58	59	40	44	
43	43	55	47	38	
37	43	61	48	44	
34	37	68	49	38	
34	41	55	46	45	
26	38	57	43	40	
35	41	61	37	45	
32	32	49	44	40	
34	37	65	50	33	
35	39	55	41	36	
35	38	60	46	32	
39	42	57	57	34	
22	32	53	48	51	
30	43	62	51	43	
42	45	52	43	38	
31	41	64	50	48	
33	43	60	66	34	
40	44	53	55	43	
29	30	56	50	43	
40	34	48	49	41	
36	39	44	59	48	
31	36	41	35	30	
33	38	78	49	46	
44	45	61	47	40	
37	48	54	41	32	
31	37	51	54	51	
32	35	59	55	34	
40	32	54	54	33	
40	30	41	49	31	
40	54	49	46	46	
48	43	65	30	35	
41	40	45	34	36	
30	49	69	45	45	
31	27	65	51	46	
32	40	47	48	39	
39	48	45	59	37	
40	44	54	51	36	
38	50	53	45	42	
29	35	47	52	36	
46	65	69	46	44	
27	37	52	39	40	
39	45	59	49	37	
37	41	46	58	38	
33	29	59	53	35	
17	36	57	44	37	
52	36	61	60	36	
30	30	48	51	35	
39	48	67	56	40	
37	47	60	54	34	
41	44	59	42	34	
39	47	57	50	42	
35	54	60	47	48	
41	38	54	48	38	
32	35	50	47	25	
36	31	55	53	32	
37	38	49	40	37	
29	41	49	43	30	
43	40	51	51	33	
27	45	61	51	36	
33	55	60	35	43	
43	47	51	42	31	
36	35	60	47	37	
36	40	49	54	36	
26	44	68	61	32	
35	45	49	56	35	
38	45	48	53	38	
27	34	59	54	41	
31	65	42	48	41	
39	32	47	45	43	
35	30	67	54	37	
32	42	51	44	35	
39	41	56	43	38	
30	37	55	45	40	
31	34	62	51	31	
42	36	55	43	36	
32	49	46	42	41	
30	42	61	49	47	
39	36	55	46	26	
30	39	45	51	33	
36	26	69	54	25	
26	33	62	41	58	
32	39	58	54	40	
39	37	48	52	40	
35	46	52	47	40	
31	35	57	47	38	
44	41	59	60	30	
31	45	61	47	44	
36	37	41	44	36	
37	44	53	47	31	
39	36	54	48	35	
41	41	53	51	37	
39	24	50	40	44	
24	49	53	57	32	
27	41	47	54	48	
30	47	39	41	38	
36	45	41	52	26	
38	26	48	49	34	
33	29	56	49	41	
34	48	65	61	40	
37	40	47	44	31	
40	36	67	53	45	
33	35	54	36	43	
32	50	51	48	34	
32	41	37	50	30	
26	35	55	51	43	
38	38	49	42	35	
34	39	51	48	35	
40	32	57	48	43	
26	34	58	43	39	
34	60	65	49	40	
27	38	49	51	39	
37	39	65	48	34	
32	34	53	51	35	
42	44	64	41	54	
32	44	53	41	29	
29	33	64	45	31	
40	47	42	49	34	
28	30	72	46	32	
25	42	62	53	42	
30	43	56	43	41	
18	40	50	50	42	
28	45	44	50	45	
40	41	47	57	45	
37	38	57	46	33	
36	46	69	40	33	
27	41	57	57	40	
23	43	61	40	35	
32	34	53	52	34	
34	47	43	42	50	
30	32	50	45	46	
25	49	57	48	40	
32	28	60	41	36	
31	37	54	39	42	
30	41	41	57	40	
26	42	53	46	32	
29	42	69	53	30	
32	44	52	45	43	
35	35	45	46	30	
35	33	48	52	40	
26	35	55	59	36	
29	52	44	54	31	
26	38	63	44	35	
37	40	58	41	35	
38	37	51	45	41	
28	43	53	53	32	
25	38	36	31	39	
26	41	72	51	44	
30	45	52	40	43	
24	32	40	46	34	
31	41	57	62	34	
47	34	48	47	40	
26	38	63	47	43	
26	27	51	44	40	
23	36	56	48	34	
23	39	58	46	34	
37	46	55	47	37	
37	43	64	48	33	
36	38	71	41	32	
33	39	50	37	26	
49	33	52	43	35	
27	40	53	44	41	
25	45	47	51	38	
39	32	44	54	44	
30	31	69	41	35	
38	36	63	37	35	
21	29	53	38	32	
28	45	69	45	47	
35	29	57	50	41	
32	39	42	45	44	
34	40	37	46	33	
22	36	50	44	38	
25	36	62	49	37	
31	38	45	49	45	
31	47	56	56	37	
30	39	46	42	42	
38	32	65	60	36	
24	38	45	34	32	
29	29	62	50	40	
29	44	50	43	29	
29	40	60	49	45	
30	43	46	41	35	
28	36	54	41	44	
29	34	67	47	37	
29	34	53	60	34	
29	30	49	43	30	
