Labels	APTMethylS_Br25_1	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

127.929690	1.24000000E+2	
128.41800	1.05000000E+2	
128.906250	1.09000000E+2	
129.394530	1.05000000E+2	
129.882810	1.32000000E+2	
130.371090	1.21000000E+2	
130.859380	1.13000000E+2	
131.347660	1.14000000E+2	
131.835940	8.90000000E+1	
132.324220	1.24000000E+2	
132.812500	1.09000000E+2	
133.300780	1.01000000E+2	
133.789060	1.04000000E+2	
134.277340	9.70000000E+1	
134.765630	1.03000000E+2	
135.253910	1.04000000E+2	
135.742190	1.08000000E+2	
136.230470	1.13000000E+2	
136.718750	1.04000000E+2	
137.20700	9.70000000E+1	
137.695310	1.04000000E+2	
138.183590	8.60000000E+1	
138.671880	1.19000000E+2	
139.160160	1.12000000E+2	
139.648440	1.17000000E+2	
140.136720	8.90000000E+1	
140.62500	1.08000000E+2	
141.113280	1.08000000E+2	
141.601560	1.11000000E+2	
142.089840	1.06000000E+2	
142.578130	9.50000000E+1	
143.066410	9.30000000E+1	
143.554690	1.02000000E+2	
144.04300	1.04000000E+2	
144.531250	9.60000000E+1	
145.019530	9.40000000E+1	
145.507810	1.07000000E+2	
145.996090	1.02000000E+2	
146.484380	1.27000000E+2	
146.972660	1.09000000E+2	
147.460940	9.50000000E+1	
147.949220	1.01000000E+2	
148.437500	9.10000000E+1	
148.925780	9.20000000E+1	
149.414060	9.20000000E+1	
149.902340	1.09000000E+2	
150.390630	1.15000000E+2	
150.878910	9.50000000E+1	
151.367190	1.09000000E+2	
151.855470	8.50000000E+1	
152.343750	9.60000000E+1	
152.83200	1.00000000E+2	
153.320310	6.80000000E+1	
153.808590	8.20000000E+1	
154.296880	1.00000000E+2	
154.785160	1.00000000E+2	
155.273440	9.10000000E+1	
155.761720	1.09000000E+2	
156.2500	8.60000000E+1	
156.738280	9.80000000E+1	
157.226560	9.40000000E+1	
157.714840	9.60000000E+1	
158.203130	1.04000000E+2	
158.691410	8.20000000E+1	
159.179690	9.60000000E+1	
159.66800	1.07000000E+2	
160.156250	9.90000000E+1	
160.644530	9.60000000E+1	
161.132810	8.90000000E+1	
161.621090	9.90000000E+1	
162.109380	9.40000000E+1	
162.597660	9.20000000E+1	
163.085940	1.20000000E+2	
163.574220	8.20000000E+1	
164.062500	1.02000000E+2	
164.550780	9.60000000E+1	
165.039060	8.70000000E+1	
165.527340	9.70000000E+1	
166.015630	9.90000000E+1	
166.503910	8.60000000E+1	
166.992190	1.03000000E+2	
167.480470	9.30000000E+1	
167.968750	8.50000000E+1	
168.45700	9.40000000E+1	
168.945310	8.90000000E+1	
169.433590	1.01000000E+2	
169.921880	1.04000000E+2	
170.410160	9.50000000E+1	
170.898440	1.06000000E+2	
171.386720	9.20000000E+1	
171.87500	8.50000000E+1	
172.363280	9.80000000E+1	
172.851560	1.17000000E+2	
173.339840	8.40000000E+1	
173.828130	8.00000000E+1	
174.316410	9.10000000E+1	
174.804690	8.80000000E+1	
175.29300	8.30000000E+1	
175.781250	6.70000000E+1	
176.269530	1.12000000E+2	
176.757810	7.70000000E+1	
177.246090	8.40000000E+1	
177.734380	9.10000000E+1	
178.222660	9.00000000E+1	
178.710940	8.50000000E+1	
179.199220	8.90000000E+1	
179.687500	8.70000000E+1	
180.175780	7.70000000E+1	
180.664060	9.60000000E+1	
181.152340	9.10000000E+1	
181.640630	8.90000000E+1	
182.128910	1.02000000E+2	
182.617190	7.60000000E+1	
183.105470	7.40000000E+1	
183.593750	9.80000000E+1	
184.08200	8.60000000E+1	
184.570310	9.00000000E+1	
185.058590	1.00000000E+2	
185.546880	1.00000000E+2	
186.035160	7.50000000E+1	
186.523440	8.10000000E+1	
187.011720	9.60000000E+1	
187.500	8.50000000E+1	
187.988280	8.70000000E+1	
188.476560	9.20000000E+1	
188.964840	7.80000000E+1	
189.453130	8.40000000E+1	
189.941410	9.10000000E+1	
190.429690	7.60000000E+1	
190.91800	7.80000000E+1	
191.406250	8.50000000E+1	
191.894530	8.40000000E+1	
192.382810	8.10000000E+1	
192.871090	1.00000000E+2	
193.359380	8.00000000E+1	
193.847660	8.60000000E+1	
194.335940	8.80000000E+1	
194.824220	8.40000000E+1	
195.312500	7.60000000E+1	
195.800780	8.20000000E+1	
196.289060	8.50000000E+1	
196.777340	9.30000000E+1	
197.265630	7.80000000E+1	
197.753910	8.10000000E+1	
198.242190	8.50000000E+1	
198.730470	8.70000000E+1	
199.218750	7.90000000E+1	
199.70700	8.80000000E+1	
200.195310	9.30000000E+1	
200.683590	8.00000000E+1	
201.171880	7.70000000E+1	
201.660160	6.90000000E+1	
202.148440	8.20000000E+1	
202.636720	8.90000000E+1	
203.12500	9.30000000E+1	
203.613280	8.70000000E+1	
204.101560	8.60000000E+1	
204.589840	7.50000000E+1	
205.078130	7.60000000E+1	
205.566410	8.10000000E+1	
206.054690	8.20000000E+1	
206.54300	9.40000000E+1	
207.031250	7.40000000E+1	
207.519530	9.30000000E+1	
208.007810	7.10000000E+1	
208.496090	7.70000000E+1	
208.984380	7.70000000E+1	
209.472660	8.20000000E+1	
209.960940	8.10000000E+1	
210.449220	8.60000000E+1	
210.937500	9.80000000E+1	
211.425780	1.04000000E+2	
211.914060	6.20000000E+1	
212.402340	7.30000000E+1	
212.890630	7.50000000E+1	
213.378910	8.90000000E+1	
213.867190	6.80000000E+1	
214.355470	8.80000000E+1	
214.843750	8.40000000E+1	
215.33200	6.90000000E+1	
215.820310	7.80000000E+1	
216.308590	1.01000000E+2	
216.796880	6.60000000E+1	
217.285160	7.60000000E+1	
217.773440	6.60000000E+1	
218.261720	8.50000000E+1	
218.7500	7.20000000E+1	
219.238280	7.70000000E+1	
219.726560	8.50000000E+1	
220.214840	7.90000000E+1	
220.703130	8.00000000E+1	
221.191410	7.40000000E+1	
221.679690	6.90000000E+1	
222.16800	8.80000000E+1	
222.656250	7.70000000E+1	
223.144530	7.10000000E+1	
223.632810	7.70000000E+1	
224.121090	7.80000000E+1	
224.609380	7.90000000E+1	
225.097660	8.20000000E+1	
225.585940	8.80000000E+1	
226.074220	8.20000000E+1	
226.562500	8.40000000E+1	
227.050780	9.30000000E+1	
227.539060	8.00000000E+1	
228.027340	9.20000000E+1	
228.515630	7.50000000E+1	
229.003910	7.30000000E+1	
229.492190	6.60000000E+1	
229.980470	7.10000000E+1	
230.468750	6.60000000E+1	
230.95700	7.90000000E+1	
231.445310	6.70000000E+1	
231.933590	7.00000000E+1	
232.421880	8.50000000E+1	
232.910160	8.80000000E+1	
233.398440	8.60000000E+1	
233.886720	7.50000000E+1	
234.37500	7.40000000E+1	
234.863280	7.00000000E+1	
235.351560	6.60000000E+1	
235.839840	7.50000000E+1	
236.328130	6.50000000E+1	
236.816410	8.40000000E+1	
237.304690	7.20000000E+1	
237.79300	7.50000000E+1	
238.281250	7.80000000E+1	
238.769530	8.20000000E+1	
239.257810	6.70000000E+1	
239.746090	9.50000000E+1	
240.234380	6.90000000E+1	
240.722660	8.70000000E+1	
241.210940	7.80000000E+1	
241.699220	6.20000000E+1	
242.187500	8.10000000E+1	
242.675780	5.30000000E+1	
243.164060	6.90000000E+1	
243.652340	8.40000000E+1	
244.140630	8.50000000E+1	
244.628910	7.90000000E+1	
245.117190	6.80000000E+1	
245.605470	9.00000000E+1	
246.093750	7.30000000E+1	
246.58200	8.20000000E+1	
247.070310	7.60000000E+1	
247.558590	7.40000000E+1	
248.046880	6.50000000E+1	
248.535160	7.80000000E+1	
249.023440	8.40000000E+1	
249.511720	7.20000000E+1	
250.00	7.10000000E+1	
250.488280	7.00000000E+1	
250.976560	7.10000000E+1	
251.464840	7.00000000E+1	
251.953130	8.30000000E+1	
252.441410	7.70000000E+1	
252.929690	7.10000000E+1	
253.41800	6.30000000E+1	
253.906250	7.50000000E+1	
254.394530	7.20000000E+1	
254.882810	6.70000000E+1	
255.371090	7.20000000E+1	
255.859380	8.20000000E+1	
256.347660	6.90000000E+1	
256.835940	8.30000000E+1	
257.324220	8.00000000E+1	
257.812500	7.10000000E+1	
258.300780	8.50000000E+1	
258.789060	8.10000000E+1	
259.277340	8.70000000E+1	
259.765630	7.00000000E+1	
260.253910	7.70000000E+1	
260.742190	8.00000000E+1	
261.230470	7.50000000E+1	
261.718750	7.20000000E+1	
262.20700	6.10000000E+1	
262.695310	6.00000000E+1	
263.183590	8.00000000E+1	
263.671880	6.70000000E+1	
264.160160	8.10000000E+1	
264.648440	6.00000000E+1	
265.136720	6.00000000E+1	
265.62500	7.10000000E+1	
266.113280	6.80000000E+1	
266.601560	9.20000000E+1	
267.089840	7.00000000E+1	
267.578130	6.60000000E+1	
268.066410	6.30000000E+1	
268.554690	8.40000000E+1	
269.04300	7.80000000E+1	
269.531250	7.70000000E+1	
270.019530	7.70000000E+1	
270.507810	5.50000000E+1	
270.996090	8.80000000E+1	
271.484380	7.80000000E+1	
271.972660	5.40000000E+1	
272.460940	6.70000000E+1	
272.949220	7.10000000E+1	
273.437500	7.60000000E+1	
273.925780	5.60000000E+1	
274.414060	6.30000000E+1	
274.902340	6.20000000E+1	
275.390630	6.30000000E+1	
275.878910	8.60000000E+1	
276.367190	6.00000000E+1	
276.855470	8.70000000E+1	
277.343750	9.30000000E+1	
277.83200	7.40000000E+1	
278.320310	7.20000000E+1	
278.808590	5.30000000E+1	
279.296880	7.30000000E+1	
279.785160	7.00000000E+1	
280.273440	6.40000000E+1	
280.761720	6.70000000E+1	
281.2500	6.70000000E+1	
281.738280	5.50000000E+1	
282.226560	9.20000000E+1	
282.714840	6.80000000E+1	
283.203130	6.30000000E+1	
283.691410	6.50000000E+1	
284.179690	6.40000000E+1	
284.66800	7.90000000E+1	
285.156250	6.90000000E+1	
285.644530	5.90000000E+1	
286.132810	7.00000000E+1	
286.621090	8.70000000E+1	
287.109380	6.80000000E+1	
287.597660	7.70000000E+1	
288.085940	8.10000000E+1	
288.574220	8.10000000E+1	
289.062500	7.50000000E+1	
289.550780	6.10000000E+1	
