Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
15.744,60,56,44,57,72,72,53,54,55,62,68,44,49,44,49,75,61,67
15.872,68,58,37,71,75,89,77,48,57,67,60,31,59,52,50,63,49,46
16,81,62,55,58,72,66,63,56,53,54,54,35,57,41,47,66,49,61
16.128,86,71,37,76,68,47,54,60,60,82,61,59,49,43,45,60,49,56
16.256,57,53,41,81,69,65,62,57,59,76,62,49,54,42,42,63,81,53
16.384,73,62,39,64,60,70,59,61,40,61,65,33,67,49,41,67,68,59
16.512,62,69,37,64,63,78,67,49,54,70,55,42,49,53,44,55,54,42
16.64,45,56,46,60,63,70,63,64,52,70,59,47,53,64,31,66,69,57
16.768,61,62,41,66,68,83,65,58,32,78,63,36,54,57,43,89,61,66
16.896,57,72,42,62,72,52,54,63,52,73,56,35,72,56,48,57,47,60
17.024,94,51,42,64,73,70,63,63,45,62,63,35,72,45,26,61,51,64
17.152,56,59,48,58,62,63,55,54,42,76,62,36,62,53,31,56,58,53
17.28,65,67,44,60,65,66,47,50,42,66,49,49,51,39,35,56,42,50
17.408,78,72,44,57,63,74,66,61,44,61,59,58,64,40,45,57,58,56
17.536,67,51,53,76,87,74,62,53,46,62,51,53,64,50,27,62,62,50
17.664,68,65,41,65,80,70,50,52,41,76,53,46,56,56,31,47,45,42
17.792,65,57,38,74,63,65,53,47,38,62,58,37,46,46,40,63,65,45
17.92,68,51,31,63,74,65,56,41,43,70,49,45,59,46,48,87,57,48
18.048,64,50,39,64,59,67,55,57,45,58,68,50,47,47,43,50,41,48
18.176,60,64,43,78,53,62,59,53,43,80,43,33,59,48,43,62,61,55
18.304,58,51,46,60,64,69,64,59,38,69,60,42,48,34,27,60,52,54
18.432,56,47,46,74,65,74,57,55,50,65,58,57,46,42,28,57,56,53
18.56,52,58,46,63,63,68,60,61,34,57,55,43,38,48,39,51,61,52
18.688,71,61,38,73,61,60,56,59,54,55,46,44,51,49,34,48,57,55
