#PicoHarp 300  Histogram Data			03/28/2023 12:14:22 PM
#channels per curve
15625
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
0.1280	0.1280	0.1280	0.1280	
#counts
5	3	5	0	
6	6	2	0	
7	4	3	0	
10	5	3	0	
3	4	4	0	
3	3	3	0	
10	4	6	0	
4	0	3	0	
2	2	0	0	
6	4	2	0	
1	3	6	0	
3	5	5	0	
7	2	5	0	
1	2	7	0	
2	2	2	0	
5	4	3	0	
3	1	3	0	
5	7	3	0	
5	1	1	0	
4	3	1	0	
3	5	7	0	
4	1	7	0	
4	2	1	1	
6	0	2	0	
4	5	4	0	
7	5	3	0	
5	7	3	0	
3	4	3	0	
3	6	1	0	
5	3	3	0	
2	3	5	0	
3	2	4	1	
2	2	1	0	
6	2	3	0	
2	2	4	0	
4	7	0	0	
5	0	5	0	
5	5	3	0	
5	2	3	0	
1	2	0	0	
1	1	1	0	
7	2	1	1	
7	4	2	0	
3	1	1	0	
6	3	1	0	
3	2	7	0	
2	2	7	0	
3	3	2	0	
2	1	1	0	
4	5	3	0	
4	6	3	0	
6	4	3	1	
7	4	5	0	
3	6	2	0	
7	1	4	0	
2	7	0	0	
4	4	5	0	
3	3	3	0	
7	3	5	0	
5	7	7	0	
4	5	4	0	
7	2	4	0	
9	4	3	0	
1	7	3	0	
3	3	2	0	
4	3	5	0	
8	2	5	0	
4	2	3	0	
4	5	4	0	
4	1	3	0	
3	2	3	0	
3	3	0	0	
7	1	3	1	
3	1	3	0	
4	6	3	0	
2	3	5	0	
3	6	2	0	
4	5	3	0	
2	10	1	0	
3	2	7	0	
4	2	4	0	
4	2	2	0	
7	4	2	0	
2	5	2	0	
8	4	3	0	
5	0	3	0	
3	2	2	1	
5	3	0	0	
1	3	3	0	
1	4	1	0	
5	0	2	0	
2	5	2	0	
4	4	4	0	
6	1	3	0	
7	2	2	0	
5	2	4	0	
12	2	6	0	
2	3	5	0	
6	2	4	0	
6	2	5	0	
5	7	0	0	
4	6	3	0	
8	1	1	0	
5	1	3	0	
4	6	3	0	
4	5	1	0	
2	1	2	0	
2	2	2	0	
5	1	5	0	
6	4	2	0	
5	1	5	0	
3	0	2	0	
5	2	1	0	
6	4	8	0	
5	3	1	0	
3	2	4	0	
7	3	6	1	
4	5	2	0	
3	4	3	0	
